r2,mse,bias,var,borne,size
73.10664607387044,611371.1656818326,484283.71648503625,127087.44919679652,500.0,6.0
62.95709402252907,80106.90499426197,76181.05529643444,3925.8496978275657,1000.0,290.0
35.56082013101896,27243.323028148607,26294.824076985624,948.4989511630517,1500.0,614.0
30.82760136761208,30103.109003258152,28972.490243514138,1130.6187597439657,2000.0,856.0
27.34801716598161,34080.57726177679,33361.48755034102,719.0897114358129,2500.0,1022.0
25.03934062440809,39657.9717130469,39098.25311250714,559.7186005397442,3000.0,1132.0
23.624733326782277,45945.31978646247,45428.41312487734,516.9066615851577,3500.0,1194.0
22.58625948908186,51296.886455488384,50651.826514433924,645.0599410544754,4000.0,1232.0
22.04955737657207,54006.36445236327,53239.49563027705,766.8688220862094,4500.0,1248.0
21.361819372695447,62255.599628177435,61295.17768517198,960.4219430054848,5000.0,1264.0
20.830544317135356,69214.80125234574,68345.61994724117,869.1813051046505,5500.0,1276.0
20.48158342319426,77244.0170336897,76272.46408881378,971.5529448759248,6000.0,1288.0
19.899447934312175,88969.57765814077,87732.9309244818,1236.6467336588503,6500.0,1288.0
19.942521260146286,87919.72360907537,86777.2439747542,1142.4796343213077,7000.0,1292.0
19.590517318866883,100348.02077341445,98779.77197177669,1568.2488016377656,7500.0,1296.0
